neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Seacliff,Entire home/apt,400,2,3,6/25/16,0.88,1,152
Seacliff,Private room,99,3,23,6/16/16,1.85,2,187
Seacliff,Entire home/apt,155,1,45,6/19/16,5.87,1,167
Seacliff,Entire home/apt,895,3,0,,,1,0
Seacliff,Entire home/apt,195,2,4,6/22/16,2.45,2,23
Seacliff,Entire home/apt,395,3,6,4/4/16,0.55,1,5
Seacliff,Entire home/apt,150,2,236,6/24/16,6.81,1,259
Seacliff,Private room,79,1,0,,,1,0
Seacliff,Private room,195,1,0,,,2,0
Seacliff,Entire home/apt,192,3,80,7/2/16,3.55,2,128
Seacliff,Private room,300,1,0,,,1,365
Seacliff,Entire home/apt,325,18,5,3/24/16,0.09,25,365
Seacliff,Private room,85,3,36,6/16/16,1.22,2,4
Seacliff,Entire home/apt,135,1,176,6/6/16,5.95,1,257
Seacliff,Entire home/apt,175,30,4,6/15/16,1.1,1,323
Seacliff,Entire home/apt,150,1,0,,,1,2
Seacliff,Private room,105,2,24,6/27/16,3.12,1,34
Haight Ashbury,Private room,120,1,1,3/3/16,0.25,2,0
Haight Ashbury,Private room,180,1,0,,,1,0
Haight Ashbury,Private room,120,1,1,6/27/16,1,1,4
Haight Ashbury,Private room,116,2,58,6/27/16,1.98,1,349
Haight Ashbury,Private room,225,2,2,10/14/15,0.21,1,0
Haight Ashbury,Entire home/apt,258,3,1,3/26/15,0.06,1,217
Haight Ashbury,Private room,150,1,16,6/21/16,9.41,1,28
Haight Ashbury,Private room,80,30,8,6/1/16,0.73,1,317
Haight Ashbury,Entire home/apt,250,2,72,6/19/16,2.83,1,297
Haight Ashbury,Private room,79,1,3,6/8/16,1.61,4,335
Haight Ashbury,Private room,100,1,13,6/26/16,2.64,1,342
Haight Ashbury,Entire home/apt,325,4,55,5/14/16,1.61,1,287
Haight Ashbury,Private room,195,3,89,6/17/16,1.78,5,362
Haight Ashbury,Entire home/apt,590,7,0,,,1,0
Haight Ashbury,Private room,149,1,6,6/19/16,0.65,2,314
Haight Ashbury,Private room,120,1,146,5/20/16,5.08,3,44
Haight Ashbury,Private room,60,1,25,5/8/16,0.7,3,71
Haight Ashbury,Private room,110,2,7,6/27/16,0.2,1,52
Haight Ashbury,Entire home/apt,200,1,5,6/21/16,4.29,1,4
Haight Ashbury,Private room,95,10,0,,,1,0
Haight Ashbury,Entire home/apt,129,2,199,6/21/16,3.35,1,104
Haight Ashbury,Entire home/apt,165,1,69,6/16/16,1.8,1,283
Haight Ashbury,Private room,79,1,1,6/4/16,1,5,362
Haight Ashbury,Entire home/apt,250,3,120,6/22/16,3.04,1,336
Haight Ashbury,Private room,135,2,135,6/16/16,3.18,1,307
Haight Ashbury,Entire home/apt,140,4,0,,,2,0
Haight Ashbury,Private room,85,1,1,3/31/15,0.07,2,0
Haight Ashbury,Entire home/apt,108,10,4,3/9/14,0.12,1,182
Haight Ashbury,Entire home/apt,295,2,95,6/28/16,2.25,2,292
Haight Ashbury,Entire home/apt,300,2,0,,,1,0
Haight Ashbury,Entire home/apt,434,3,0,,,1,309
Haight Ashbury,Private room,150,1,2,6/30/15,0.16,7,364
Haight Ashbury,Private room,89,1,1,6/19/16,1,4,73
Haight Ashbury,Entire home/apt,260,3,13,6/5/16,0.43,1,0
Haight Ashbury,Entire home/apt,325,2,21,6/21/16,2.81,2,73
Haight Ashbury,Private room,60,1,0,,,1,0
Haight Ashbury,Private room,124,2,1,9/18/15,0.1,1,0
Haight Ashbury,Entire home/apt,300,3,56,6/17/16,0.97,1,289
Haight Ashbury,Entire home/apt,210,3,11,6/26/16,1.93,1,260
Haight Ashbury,Private room,89,7,5,10/18/15,0.13,7,365
Haight Ashbury,Private room,110,1,66,5/29/16,4.66,2,58
Haight Ashbury,Entire home/apt,7000,1,0,,,1,0
Haight Ashbury,Private room,120,1,40,6/11/16,2.32,2,113
Haight Ashbury,Private room,90,3,0,,,1,0
Haight Ashbury,Entire home/apt,143,1,11,6/20/16,2.06,1,3
Haight Ashbury,Private room,325,3,1,6/30/14,0.04,1,0
Haight Ashbury,Private room,110,1,2,12/6/15,0.28,1,0
Haight Ashbury,Private room,165,3,108,6/17/16,2.15,5,353
Haight Ashbury,Entire home/apt,400,2,4,5/16/16,0.83,2,10
Haight Ashbury,Private room,150,2,69,6/28/16,2.79,1,332
Haight Ashbury,Entire home/apt,425,3,52,6/15/16,1.79,1,138
Haight Ashbury,Entire home/apt,243,2,32,6/8/16,3.34,2,266
Haight Ashbury,Entire home/apt,150,2,7,5/22/16,1.58,1,200
Haight Ashbury,Entire home/apt,245,3,65,6/11/16,1.9,2,96
Haight Ashbury,Entire home/apt,320,2,2,8/12/14,0.09,1,224
Haight Ashbury,Entire home/apt,2000,3,0,,,1,0
Haight Ashbury,Private room,215,3,56,5/31/16,1.15,5,365
Haight Ashbury,Private room,79,1,3,4/19/16,0.93,4,361
Haight Ashbury,Private room,99,1,0,,,7,364
Haight Ashbury,Private room,245,3,76,6/12/16,1.54,5,362
Haight Ashbury,Private room,99,1,1,3/21/15,0.06,7,364
Haight Ashbury,Private room,120,2,11,9/18/15,0.39,1,365
Haight Ashbury,Entire home/apt,305,2,0,,,2,43
Haight Ashbury,Entire home/apt,195,3,81,6/27/16,3.93,2,267
Haight Ashbury,Entire home/apt,275,2,40,6/1/16,1.31,1,29
Haight Ashbury,Entire home/apt,150,2,9,6/17/16,1.12,1,10
Haight Ashbury,Entire home/apt,350,5,3,6/15/16,2,1,67
Haight Ashbury,Entire home/apt,600,3,2,11/29/15,0.17,1,11
Haight Ashbury,Private room,100,14,0,,,1,0
Haight Ashbury,Private room,110,2,10,6/23/16,1.86,1,0
Haight Ashbury,Entire home/apt,169,3,9,3/30/16,1.17,2,4
Haight Ashbury,Entire home/apt,350,2,5,6/17/16,0.4,1,356
Haight Ashbury,Private room,150,1,1,9/15/15,0.1,1,364
Haight Ashbury,Entire home/apt,425,4,0,,,1,17
Haight Ashbury,Private room,145,1,30,4/29/16,1.27,1,0
Haight Ashbury,Private room,175,3,1,5/16/16,0.63,1,0
Haight Ashbury,Entire home/apt,432,1,0,,,1,365
Haight Ashbury,Private room,125,1,1,4/1/16,0.32,1,0
Haight Ashbury,Private room,140,1,79,6/16/16,3.08,2,274
Haight Ashbury,Private room,65,7,15,9/23/15,0.18,7,365
Haight Ashbury,Entire home/apt,180,3,3,5/25/16,1.7,1,246
Haight Ashbury,Private room,175,1,14,6/26/16,1.4,1,358
Haight Ashbury,Private room,80,3,19,6/20/16,2.85,1,0
Haight Ashbury,Entire home/apt,115,5,7,6/28/16,1.11,1,1
Haight Ashbury,Private room,99,3,0,,,2,0
Haight Ashbury,Entire home/apt,650,1,0,,,1,0
Haight Ashbury,Entire home/apt,350,2,19,5/23/16,2.97,1,151
Haight Ashbury,Private room,90,2,11,10/29/15,0.47,1,0
Haight Ashbury,Private room,200,1,0,,,7,365
Haight Ashbury,Private room,265,5,0,,,2,89
Haight Ashbury,Private room,100,1,10,8/24/14,0.41,1,0
Haight Ashbury,Entire home/apt,150,2,0,,,1,0
Haight Ashbury,Entire home/apt,99,10,2,5/31/16,0.19,1,11
Haight Ashbury,Private room,102,2,201,6/30/16,3.43,6,325
Haight Ashbury,Private room,150,2,22,6/28/16,0.95,2,80
Haight Ashbury,Entire home/apt,500,1,1,3/8/16,0.26,1,0
Haight Ashbury,Entire home/apt,210,2,2,6/25/16,1.22,1,117
Haight Ashbury,Private room,108,2,197,6/24/16,3.37,6,314
Haight Ashbury,Private room,96,2,30,6/29/16,2.92,6,339
Haight Ashbury,Private room,500,5,0,,,2,0
Haight Ashbury,Private room,100,1,0,,,1,0
Haight Ashbury,Private room,120,3,27,6/7/16,2.54,1,4
Haight Ashbury,Private room,99,1,80,6/20/16,2.17,6,362
Haight Ashbury,Private room,85,1,0,,,1,0
Haight Ashbury,Private room,125,2,1,8/30/15,0.1,1,0
Haight Ashbury,Private room,79,1,1,6/13/16,1,4,338
Haight Ashbury,Private room,350,3,0,,,1,0
Haight Ashbury,Private room,99,1,2,6/24/16,2,4,67
Haight Ashbury,Private room,65,4,8,6/16/16,2.07,1,0
Haight Ashbury,Private room,139,2,55,6/26/16,3.08,2,50
Haight Ashbury,Private room,78,1,0,,,1,0
Haight Ashbury,Private room,90,1,314,6/30/16,7.85,1,267
Haight Ashbury,Private room,200,3,6,6/15/16,0.63,1,10
Haight Ashbury,Entire home/apt,350,30,31,4/12/15,0.93,1,274
Haight Ashbury,Entire home/apt,190,3,3,6/15/16,3,1,0
Haight Ashbury,Entire home/apt,185,3,27,6/10/16,0.93,1,9
Haight Ashbury,Entire home/apt,285,3,77,5/25/16,1.77,1,260
Haight Ashbury,Entire home/apt,600,5,21,6/18/16,0.85,2,312
Haight Ashbury,Private room,72,7,2,1/22/16,0.26,1,61
Haight Ashbury,Entire home/apt,185,2,126,6/29/16,4.83,1,204
Haight Ashbury,Private room,100,2,23,6/26/16,7.11,1,8
Haight Ashbury,Entire home/apt,195,2,10,6/17/16,4.69,1,79
Haight Ashbury,Private room,89,2,30,3/13/15,1.02,1,0
Haight Ashbury,Entire home/apt,300,1,3,6/26/16,1.55,1,66
Haight Ashbury,Private room,150,2,36,6/24/16,3.78,1,140
Haight Ashbury,Private room,100,1,1,10/2/15,0.11,3,0
Haight Ashbury,Private room,150,1,0,,,1,0
Haight Ashbury,Private room,130,1,0,,,1,0
Haight Ashbury,Entire home/apt,150,4,10,6/5/16,1.65,1,9
Haight Ashbury,Private room,85,2,215,6/29/16,3.68,6,280
Haight Ashbury,Entire home/apt,490,3,5,3/28/16,0.52,1,326
Haight Ashbury,Private room,96,5,0,,,3,0
Haight Ashbury,Entire home/apt,825,2,27,2/21/16,0.59,1,365
Haight Ashbury,Entire home/apt,300,1,0,,,1,0
Haight Ashbury,Entire home/apt,225,15,8,6/25/16,0.26,1,0
Haight Ashbury,Entire home/apt,465,2,3,9/15/15,0.28,1,0
Haight Ashbury,Entire home/apt,350,2,2,8/3/15,0.15,7,364
Haight Ashbury,Entire home/apt,500,1,0,,,1,0
Haight Ashbury,Private room,145,1,8,8/13/15,0.66,2,2
Haight Ashbury,Private room,97,2,8,6/29/16,1.63,1,33
Haight Ashbury,Entire home/apt,195,3,41,6/28/16,2.67,1,258
Haight Ashbury,Entire home/apt,440,7,0,,,1,22
Haight Ashbury,Entire home/apt,300,2,2,7/26/15,0.09,1,311
Haight Ashbury,Entire home/apt,280,2,7,1/3/16,0.98,1,0
Haight Ashbury,Private room,77,4,1,12/23/15,0.16,3,0
Haight Ashbury,Private room,175,4,0,,,1,0
Haight Ashbury,Shared room,55,30,9,5/26/15,0.38,24,308
Haight Ashbury,Private room,89,3,3,6/1/16,0.3,1,297
Haight Ashbury,Private room,165,1,33,6/27/16,1.32,5,171
Haight Ashbury,Private room,79,1,135,6/24/16,3.54,6,325
Haight Ashbury,Private room,145,3,0,,,1,0
Haight Ashbury,Private room,150,2,0,,,1,299
Haight Ashbury,Shared room,55,30,10,11/5/15,0.46,24,361
Haight Ashbury,Entire home/apt,400,3,0,,,1,0
Haight Ashbury,Entire home/apt,600,3,0,,,1,11
Haight Ashbury,Entire home/apt,250,3,6,6/24/16,1.68,1,85
Haight Ashbury,Entire home/apt,275,1,11,6/26/16,2.26,1,325
Haight Ashbury,Entire home/apt,325,5,0,,,1,19
Haight Ashbury,Entire home/apt,245,2,0,,,2,335
Haight Ashbury,Private room,120,1,0,,,1,0
Haight Ashbury,Entire home/apt,800,1,0,,,1,0
Haight Ashbury,Private room,94,2,136,6/24/16,3.72,1,300
Haight Ashbury,Entire home/apt,450,5,2,6/27/16,2,1,19
Haight Ashbury,Entire home/apt,175,1,141,6/30/16,4.53,1,280
Haight Ashbury,Entire home/apt,250,2,0,,,1,0
Haight Ashbury,Private room,159,1,72,6/26/16,7.69,2,320
Haight Ashbury,Private room,77,7,23,9/11/13,0.44,2,181
Haight Ashbury,Entire home/apt,175,3,13,3/5/16,0.89,1,8
Haight Ashbury,Entire home/apt,350,2,6,1/13/16,0.28,1,361
Haight Ashbury,Entire home/apt,190,2,5,6/8/16,1.2,1,263
Haight Ashbury,Entire home/apt,200,7,0,,,1,10
Haight Ashbury,Entire home/apt,400,3,0,,,1,0
Haight Ashbury,Private room,60,3,6,4/4/16,0.58,1,0
Haight Ashbury,Private room,125,2,7,6/17/16,0.6,5,354
Haight Ashbury,Private room,80,1,2,6/16/16,2,1,228
Haight Ashbury,Private room,65,7,11,5/22/16,0.19,7,351
Haight Ashbury,Private room,79,1,5,5/23/16,1.58,4,323
Haight Ashbury,Private room,105,2,3,11/15/15,0.33,1,0
Haight Ashbury,Private room,79,1,2,5/22/16,0.81,4,323
Haight Ashbury,Entire home/apt,230,30,105,9/29/15,1.99,2,323
Haight Ashbury,Entire home/apt,389,2,7,1/3/16,0.31,1,11
Haight Ashbury,Entire home/apt,600,5,0,,,1,28
Haight Ashbury,Entire home/apt,195,3,128,6/29/16,2.16,1,229
Haight Ashbury,Entire home/apt,111,7,3,5/21/16,0.07,1,1
Haight Ashbury,Entire home/apt,389,2,7,11/2/15,0.62,1,0
Haight Ashbury,Private room,93,2,1,6/26/16,1,1,36
Haight Ashbury,Entire home/apt,155,2,17,5/23/16,1.35,1,182
Haight Ashbury,Private room,79,1,2,6/14/16,1.4,4,321
Haight Ashbury,Entire home/apt,375,1,0,,,1,304
Haight Ashbury,Entire home/apt,265,3,57,6/27/16,4.38,1,56
Haight Ashbury,Entire home/apt,399,2,4,7/29/15,0.16,1,1
Haight Ashbury,Private room,100,1,5,6/27/16,2.59,1,333
Haight Ashbury,Entire home/apt,650,3,61,6/13/16,1.73,1,293
Haight Ashbury,Entire home/apt,525,5,20,6/19/16,0.54,2,203
Haight Ashbury,Entire home/apt,400,1,0,,,1,0
Haight Ashbury,Private room,60,1,27,6/30/16,5.26,1,195
Haight Ashbury,Entire home/apt,235,1,22,5/21/16,0.81,2,365
Haight Ashbury,Entire home/apt,350,2,2,9/18/15,0.19,1,301
Haight Ashbury,Private room,145,1,0,,,1,0
Haight Ashbury,Private room,100,2,14,5/1/16,1.24,4,314
Haight Ashbury,Private room,110,2,0,,,1,35
Haight Ashbury,Private room,125,1,0,,,3,0
Haight Ashbury,Entire home/apt,198,2,86,6/17/16,2.9,2,299
Haight Ashbury,Entire home/apt,289,5,3,6/15/16,0.44,2,324
Haight Ashbury,Private room,125,3,1,3/4/16,0.25,1,159
Haight Ashbury,Private room,79,1,103,6/19/16,1.42,1,308
Haight Ashbury,Private room,200,5,0,,,1,0
Haight Ashbury,Private room,100,1,0,,,1,365
Haight Ashbury,Private room,69,1,148,6/19/16,3.76,6,298
Haight Ashbury,Entire home/apt,255,4,89,5/20/16,3.5,1,4
Haight Ashbury,Entire home/apt,650,1,0,,,1,0
Haight Ashbury,Entire home/apt,1100,1,0,,,1,0
Haight Ashbury,Entire home/apt,200,2,12,5/21/16,0.61,1,232
Haight Ashbury,Entire home/apt,149,30,1,5/7/16,0.53,1,0
Haight Ashbury,Entire home/apt,190,4,25,6/25/16,0.51,1,33
Haight Ashbury,Private room,50,1,38,6/30/16,0.93,3,280
Haight Ashbury,Private room,79,1,2,5/24/16,1.07,5,359
Haight Ashbury,Private room,85,5,2,6/1/16,1.18,1,0
Haight Ashbury,Entire home/apt,195,2,16,8/10/15,0.39,1,319
Haight Ashbury,Private room,164,1,0,,,1,0
Haight Ashbury,Entire home/apt,200,2,11,12/14/14,0.48,1,304
Haight Ashbury,Private room,95,2,0,,,4,122
Haight Ashbury,Entire home/apt,525,2,1,6/28/16,1,1,26
Haight Ashbury,Entire home/apt,389,3,1,2/26/16,0.23,1,0
Haight Ashbury,Entire home/apt,190,3,3,12/29/15,0.37,1,193
Haight Ashbury,Entire home/apt,195,1,49,6/24/16,6.39,1,72
Haight Ashbury,Private room,125,3,114,6/29/16,2.32,1,303
Haight Ashbury,Private room,79,1,1,6/17/16,1,4,317
Haight Ashbury,Private room,95,1,1,6/18/16,1,4,54
Haight Ashbury,Private room,80,3,52,6/3/16,1.47,1,286
Haight Ashbury,Entire home/apt,211,2,56,5/23/16,2.93,1,289
Haight Ashbury,Entire home/apt,250,1,0,,,1,365
Haight Ashbury,Entire home/apt,225,5,2,8/23/15,0.17,1,36
Haight Ashbury,Private room,79,30,1,6/20/16,1,2,0
Haight Ashbury,Entire home/apt,221,30,74,9/18/15,1.27,2,302
Haight Ashbury,Entire home/apt,250,7,0,,,1,0
Haight Ashbury,Private room,100,1,22,5/10/16,0.38,1,340
Haight Ashbury,Entire home/apt,575,2,0,,,1,5
Haight Ashbury,Entire home/apt,200,7,0,,,1,0
Haight Ashbury,Entire home/apt,140,1,26,5/18/16,1.8,1,245
Haight Ashbury,Private room,150,3,23,6/19/16,1.03,1,337
Haight Ashbury,Entire home/apt,150,3,102,6/26/16,2.67,1,269
Haight Ashbury,Entire home/apt,195,1,15,6/22/16,4.25,1,343
Haight Ashbury,Entire home/apt,156,3,3,12/16/13,0.09,1,182
Haight Ashbury,Entire home/apt,150,3,68,6/29/16,2.37,1,244
Haight Ashbury,Entire home/apt,599,1,35,6/15/16,3.44,1,218
Haight Ashbury,Private room,200,1,0,,,1,0
Haight Ashbury,Entire home/apt,190,3,205,6/23/16,3.99,1,88
Haight Ashbury,Entire home/apt,190,3,75,6/10/16,2.16,1,304
Haight Ashbury,Entire home/apt,500,29,69,12/31/15,2.34,1,11
Haight Ashbury,Entire home/apt,200,2,25,6/22/16,0.41,1,340
Haight Ashbury,Private room,79,1,164,6/26/16,4.48,6,305
Haight Ashbury,Private room,185,1,6,10/12/15,0.27,2,353
Haight Ashbury,Entire home/apt,179,3,57,6/17/16,2.4,1,313
Haight Ashbury,Entire home/apt,265,3,48,6/18/16,1.55,1,257
Haight Ashbury,Private room,159,7,27,8/16/14,0.63,1,145
Haight Ashbury,Entire home/apt,250,2,20,5/28/16,1.91,1,301
Haight Ashbury,Entire home/apt,400,3,63,6/19/16,1.76,1,301
Haight Ashbury,Entire home/apt,1250,5,18,6/10/16,0.8,2,311
Haight Ashbury,Entire home/apt,300,4,8,1/1/16,0.24,2,214
Haight Ashbury,Entire home/apt,139,14,0,,,2,0
Haight Ashbury,Entire home/apt,350,2,13,3/29/16,0.7,1,143
Haight Ashbury,Entire home/apt,169,3,2,1/15/16,0.28,1,0
Haight Ashbury,Entire home/apt,800,2,0,,,2,0
Haight Ashbury,Private room,90,2,0,,,1,325
Haight Ashbury,Entire home/apt,175,1,0,,,1,0
Haight Ashbury,Entire home/apt,900,5,1,6/29/16,1,1,97
Haight Ashbury,Private room,89,2,20,6/13/16,2.52,2,1
Haight Ashbury,Private room,89,5,1,5/20/16,0.68,1,297
Haight Ashbury,Private room,65,6,1,4/30/16,0.47,1,213
Haight Ashbury,Entire home/apt,375,5,1,8/26/14,0.04,1,292
Haight Ashbury,Private room,350,30,6,9/17/15,0.44,1,363
Haight Ashbury,Private room,89,7,4,7/2/15,0.07,7,365
Haight Ashbury,Private room,60,1,3,6/27/16,3,2,0
Haight Ashbury,Entire home/apt,350,2,5,5/15/15,0.14,1,182
Haight Ashbury,Entire home/apt,380,2,4,2/10/16,0.34,1,74
Haight Ashbury,Entire home/apt,300,3,2,6/9/16,0.87,2,43
Haight Ashbury,Private room,174,1,0,,,1,0
Haight Ashbury,Entire home/apt,350,2,3,7/28/15,0.24,5,350
Haight Ashbury,Private room,100,14,0,,,1,0
Haight Ashbury,Entire home/apt,425,2,5,1/14/16,0.22,1,37
Haight Ashbury,Entire home/apt,155,30,145,5/20/16,5.89,2,317
Haight Ashbury,Private room,165,2,40,6/26/16,1.92,2,81
Haight Ashbury,Entire home/apt,320,1,61,6/27/16,1.88,1,324
Haight Ashbury,Entire home/apt,775,3,21,6/23/16,1.3,2,294
Haight Ashbury,Private room,119,1,1,6/21/16,1,1,365
Haight Ashbury,Entire home/apt,500,999,4,6/26/16,0.65,1,40
Haight Ashbury,Entire home/apt,480,2,4,6/7/16,0.29,1,178
Haight Ashbury,Shared room,40,30,13,12/1/15,0.6,24,316
Haight Ashbury,Entire home/apt,500,30,94,5/31/16,2.31,1,294
Haight Ashbury,Private room,90,1,1,10/12/15,0.11,1,0
Haight Ashbury,Entire home/apt,300,3,4,10/17/12,0.09,1,177
Haight Ashbury,Private room,69,1,39,5/23/16,1.09,3,39
Haight Ashbury,Private room,84,1,0,,,1,0
Haight Ashbury,Entire home/apt,420,3,15,6/29/16,4.37,1,12
Haight Ashbury,Entire home/apt,435,3,7,6/16/16,1.43,4,32
Haight Ashbury,Entire home/apt,750,6,3,9/1/13,0.06,1,204
Haight Ashbury,Entire home/apt,230,30,30,3/19/16,1.37,1,363
Haight Ashbury,Entire home/apt,290,7,4,6/14/16,2.5,1,303
Haight Ashbury,Private room,125,2,18,6/17/16,1.3,5,356
Haight Ashbury,Entire home/apt,395,3,29,6/18/16,1.57,1,0
Haight Ashbury,Private room,80,4,0,,,2,0
Haight Ashbury,Entire home/apt,199,3,17,6/25/16,2.31,1,52
Haight Ashbury,Entire home/apt,300,2,20,5/16/16,1.45,5,312
Haight Ashbury,Entire home/apt,500,3,4,6/18/16,0.71,1,342
Haight Ashbury,Entire home/apt,499,2,1,4/4/16,0.33,1,238
Haight Ashbury,Entire home/apt,160,30,31,8/17/15,0.94,2,335
Haight Ashbury,Entire home/apt,280,30,2,5/17/16,0.75,1,189
Haight Ashbury,Entire home/apt,225,3,4,12/18/14,0.18,1,254
Haight Ashbury,Entire home/apt,159,5,35,6/22/16,1.56,1,303
Haight Ashbury,Entire home/apt,265,30,86,6/18/16,1.5,1,27
Haight Ashbury,Entire home/apt,395,3,102,6/16/16,3.62,2,18
Haight Ashbury,Entire home/apt,145,1,0,,,1,0
Haight Ashbury,Private room,150,30,19,8/15/15,0.5,24,365
Haight Ashbury,Entire home/apt,195,2,5,5/31/16,0.54,1,24
Haight Ashbury,Entire home/apt,400,2,94,6/8/16,1.37,1,329
Haight Ashbury,Private room,115,14,0,,,1,0
Haight Ashbury,Entire home/apt,149,2,27,6/27/16,0.57,1,52
Haight Ashbury,Entire home/apt,300,2,8,5/30/16,0.54,1,54
Haight Ashbury,Entire home/apt,250,3,4,2/8/15,0.18,1,181
Haight Ashbury,Entire home/apt,250,2,7,6/12/16,0.15,1,272
Haight Ashbury,Entire home/apt,350,5,6,1/1/16,0.1,1,189
Haight Ashbury,Entire home/apt,250,3,21,8/27/15,0.79,1,0
Haight Ashbury,Entire home/apt,225,1,3,6/19/16,0.62,1,317
Haight Ashbury,Entire home/apt,350,1,8,3/15/16,0.38,7,364
Haight Ashbury,Private room,100,7,0,,,1,0
Haight Ashbury,Entire home/apt,145,31,4,12/18/15,0.38,1,0
Haight Ashbury,Entire home/apt,220,2,19,6/17/16,0.78,1,74
Haight Ashbury,Private room,195,1,0,,,1,0
Haight Ashbury,Entire home/apt,279,2,0,,,1,329
Haight Ashbury,Private room,114,2,32,6/13/16,1.37,1,96
Haight Ashbury,Entire home/apt,150,2,6,1/24/16,0.96,1,4
Haight Ashbury,Entire home/apt,145,4,21,6/7/16,0.6,1,12
Haight Ashbury,Entire home/apt,180,2,53,6/22/16,5.39,1,8
Haight Ashbury,Entire home/apt,350,1,0,,,1,0
Haight Ashbury,Entire home/apt,90,2,2,10/19/15,0.18,1,0
Haight Ashbury,Entire home/apt,125,3,0,,,1,0
Haight Ashbury,Private room,125,2,72,6/24/16,3.4,2,31
Haight Ashbury,Entire home/apt,500,3,7,1/2/16,0.57,1,0
Haight Ashbury,Private room,100,1,9,5/31/16,5.51,1,0
Haight Ashbury,Private room,120,1,122,5/5/16,4.52,3,46
Haight Ashbury,Entire home/apt,1500,4,0,,,1,0
Haight Ashbury,Entire home/apt,349,4,23,8/3/15,1.04,1,0
Haight Ashbury,Entire home/apt,175,1,0,,,1,9
Haight Ashbury,Private room,71,2,2,10/31/15,0.18,1,0
Haight Ashbury,Private room,106,6,0,,,1,0
Haight Ashbury,Entire home/apt,275,1,1,2/9/16,0.21,1,10
Haight Ashbury,Private room,53,2,196,6/27/16,5.03,6,281
Haight Ashbury,Entire home/apt,207,1,82,6/25/16,9.46,1,27
Haight Ashbury,Entire home/apt,195,3,26,6/26/16,2.67,1,93
Haight Ashbury,Entire home/apt,390,3,38,6/16/16,1.07,1,263
Haight Ashbury,Entire home/apt,200,2,12,5/8/16,0.53,2,0
Haight Ashbury,Entire home/apt,375,1,43,3/16/16,0.87,1,0
Haight Ashbury,Entire home/apt,150,1,1,11/2/15,0.12,1,0
Haight Ashbury,Entire home/apt,129,1,192,6/16/16,4.45,1,64
Haight Ashbury,Private room,80,1,195,6/16/16,4.67,2,284
Haight Ashbury,Private room,99,1,94,2/15/16,2.55,6,353
Haight Ashbury,Entire home/apt,400,1,0,,,1,0
Haight Ashbury,Entire home/apt,500,1,0,,,3,0
Haight Ashbury,Entire home/apt,450,2,5,4/2/16,0.45,1,8
Haight Ashbury,Shared room,55,30,6,7/18/15,0.25,24,365
Haight Ashbury,Entire home/apt,320,1,0,,,1,0
Haight Ashbury,Private room,65,7,7,9/26/15,0.15,7,335
Haight Ashbury,Entire home/apt,550,1,72,2/27/16,2.37,2,365
Haight Ashbury,Private room,75,15,0,,,1,0
Haight Ashbury,Entire home/apt,175,18,7,10/2/14,0.1,25,308
Haight Ashbury,Entire home/apt,2500,1,0,,,2,0
Haight Ashbury,Entire home/apt,160,30,75,5/2/16,1.69,2,330
Haight Ashbury,Entire home/apt,240,1,21,6/25/16,1.31,1,337
Haight Ashbury,Private room,120,2,17,4/30/16,1.5,4,331
Haight Ashbury,Private room,58,4,0,,,3,0
Haight Ashbury,Private room,119,2,0,,,1,12
Haight Ashbury,Shared room,55,30,12,5/3/15,0.32,24,309
Haight Ashbury,Private room,90,1,1,3/1/16,0.24,1,0
Haight Ashbury,Entire home/apt,150,2,0,,,1,0
Haight Ashbury,Private room,79,1,6,6/16/16,2.73,4,362
Haight Ashbury,Entire home/apt,400,4,14,6/25/16,0.59,1,8
Haight Ashbury,Entire home/apt,175,2,15,9/18/15,0.96,1,0
Haight Ashbury,Entire home/apt,309,3,3,5/1/16,0.62,1,318
Haight Ashbury,Private room,89,1,128,6/17/16,3.45,6,356
Haight Ashbury,Private room,80,1,5,5/3/16,0.74,1,312
Haight Ashbury,Entire home/apt,223,1,70,6/16/16,4.37,2,316
Haight Ashbury,Entire home/apt,489,3,0,,,4,179
Haight Ashbury,Private room,90,7,0,,,1,335
Haight Ashbury,Entire home/apt,1450,4,0,,,1,0
Haight Ashbury,Private room,150,2,1,9/20/15,0.1,1,0
Haight Ashbury,Private room,65,7,6,5/18/16,0.27,7,365
Haight Ashbury,Entire home/apt,160,2,45,6/19/16,0.97,1,57
Haight Ashbury,Private room,99,1,147,6/10/16,4.72,1,327
Haight Ashbury,Entire home/apt,175,3,9,11/15/15,0.97,1,0
Haight Ashbury,Entire home/apt,179,2,3,6/25/16,2.73,1,89
Haight Ashbury,Private room,175,2,4,6/13/16,1.36,1,66
Haight Ashbury,Entire home/apt,350,3,11,6/29/16,2.34,1,74
Haight Ashbury,Entire home/apt,157,1,10,6/23/16,1.76,1,334
Haight Ashbury,Private room,79,1,0,,,4,334
Haight Ashbury,Entire home/apt,229,3,3,9/5/15,0.22,2,8
Haight Ashbury,Private room,399,1,0,,,2,0
Haight Ashbury,Shared room,40,30,13,12/20/15,0.54,24,320
Haight Ashbury,Private room,265,3,0,,,2,89
Haight Ashbury,Entire home/apt,130,3,206,7/1/16,4.45,1,202
Haight Ashbury,Shared room,44,30,8,5/5/15,0.33,24,322
Haight Ashbury,Entire home/apt,350,5,12,8/11/15,0.25,1,182
